Trial ID,reps,trt,Plot No.,Waterhemp3710,Waterhemp5124 ,Waterhemp6437
15 UNL SB F12N Weed Screen Trial,1,1,101,100,100,100
15 UNL SB F12N Weed Screen Trial,1,2,102,60,60,60
15 UNL SB F12N Weed Screen Trial,1,3,103,90,80,80
15 UNL SB F12N Weed Screen Trial,1,4,104,100,100,100
15 UNL SB F12N Weed Screen Trial,1,5,105,100,100,100
15 UNL SB F12N Weed Screen Trial,1,6,106,100,100,100
15 UNL SB F12N Weed Screen Trial,1,7,107,100,80,80
15 UNL SB F12N Weed Screen Trial,1,8,108,100,100,80
15 UNL SB F12N Weed Screen Trial,1,9,109,100,80,80
15 UNL SB F12N Weed Screen Trial,1,10,110,60,40,40
15 UNL SB F12N Weed Screen Trial,1,11,111,40,30,30
15 UNL SB F12N Weed Screen Trial,1,12,112,60,40,40
15 UNL SB F12N Weed Screen Trial,1,13,113,90,90,80
15 UNL SB F12N Weed Screen Trial,1,14,114,80,100,100
15 UNL SB F12N Weed Screen Trial,2,14,201,90,100,100
15 UNL SB F12N Weed Screen Trial,2,7,202,100,100,100
15 UNL SB F12N Weed Screen Trial,2,8,203,100,100,100
15 UNL SB F12N Weed Screen Trial,2,6,204,100,100,100
15 UNL SB F12N Weed Screen Trial,2,10,205,80,60,70
15 UNL SB F12N Weed Screen Trial,2,3,206,90,60,100
15 UNL SB F12N Weed Screen Trial,2,2,207,70,80,60
15 UNL SB F12N Weed Screen Trial,2,5,208,100,100,100
15 UNL SB F12N Weed Screen Trial,2,1,209,100,80,80
15 UNL SB F12N Weed Screen Trial,2,9,210,100,90,90
15 UNL SB F12N Weed Screen Trial,2,4,211,100,100,100
15 UNL SB F12N Weed Screen Trial,2,13,212,60,90,90
15 UNL SB F12N Weed Screen Trial,2,11,213,60,40,30
15 UNL SB F12N Weed Screen Trial,2,12,214,60,30,30
15 UNL SB F12N Weed Screen Trial,3,9,301,100,90,90
15 UNL SB F12N Weed Screen Trial,3,12,302,60,40,40
15 UNL SB F12N Weed Screen Trial,3,3,303,90,80,60
15 UNL SB F12N Weed Screen Trial,3,13,304,90,100,100
15 UNL SB F12N Weed Screen Trial,3,14,305,100,100,100
15 UNL SB F12N Weed Screen Trial,3,10,306,80,60,50
15 UNL SB F12N Weed Screen Trial,3,4,307,100,100,100
15 UNL SB F12N Weed Screen Trial,3,8,308,100,100,100
15 UNL SB F12N Weed Screen Trial,3,6,309,100,100,100
15 UNL SB F12N Weed Screen Trial,3,7,310,100,100,100
15 UNL SB F12N Weed Screen Trial,3,5,311,100,100,100
15 UNL SB F12N Weed Screen Trial,3,1,312,90,75,70
15 UNL SB F12N Weed Screen Trial,3,2,313,80,80,70
15 UNL SB F12N Weed Screen Trial,3,11,314,40,40,30
